TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,AgeGroup
T00066,C9751,Female,69,Chennai,Groceries,1,3397,2023-02-10,Wallet,3397,2023-02,Friday,60+
T00067,C5010,Other,37,Pune,Fashion,3,921,2023-04-24,Upi,2763,2023-04,Monday,26-40
T00068,C3677,Other,63,Mumbai,Sports,2,4415,2023-02-08,Cash,8830,2023-02,Wednesday,60+
T00069,C8573,Other,63,Delhi,Electronics,4,1224,2023-06-17,Wallet,4896,2023-06,Saturday,60+
T00070,C7216,Female,59,Hyderabad,Fashion,3,196,2023-03-22,Wallet,588,2023-03,Wednesday,41-60
T00071,C5422,Other,35,Pune,Groceries,3,916,2023-09-17,Upi,2748,2023-09,Sunday,26-40
T00072,C4598,Male,45,Ahmedabad,Furniture,4,3195,2023-06-21,Card,12780,2023-06,Wednesday,41-60
T00073,C6313,Other,42,Hyderabad,Beauty,1,3245,2023-05-22,Wallet,3245,2023-05,Monday,41-60
T00074,C1916,Female,40,Mumbai,Fashion,1,269,2023-08-21,Wallet,269,2023-08,Monday,26-40
T00075,C4752,Female,47,Hyderabad,Groceries,2,1001,2023-11-19,Card,2002,2023-11,Sunday,41-60
T00076,C1525,Other,34,Ahmedabad,Fashion,2,211,2023-09-20,Wallet,422,2023-09,Wednesday,26-40
T00077,C6168,Male,31,Delhi,Electronics,5,458,2023-12-11,Upi,2290,2023-12,Monday,26-40
T00078,C7572,Male,47,Jaipur,Groceries,5,1182,2023-02-07,Wallet,5910,2023-02,Tuesday,41-60
T00079,C5386,Male,37,Hyderabad,Groceries,2,2134,2023-12-28,Cash,4268,2023-12,Thursday,26-40
T00080,C2084,Female,61,Ahmedabad,Furniture,4,784,2023-12-19,Upi,3136,2023-12,Tuesday,60+
T00081,C4456,Male,51,Pune,Beauty,5,2292,2023-06-11,Upi,11460,2023-06,Sunday,41-60
T00082,C6155,Female,70,Chennai,Groceries,5,1268,2023-01-20,Upi,6340,2023-01,Friday,60+
T00083,C4483,Other,57,Kolkata,Electronics,4,210,2023-08-10,Card,840,2023-08,Thursday,41-60
T00084,C9179,Other,43,Bengaluru,Groceries,1,176,2023-02-21,Upi,176,2023-02,Tuesday,41-60
T00085,C7482,Female,55,Mumbai,Groceries,3,971,2023-12-28,Upi,2913,2023-12,Thursday,41-60
T00086,C8517,Female,24,Jaipur,Sports,1,4543,2023-09-24,Wallet,4543,2023-09,Sunday,18-25
T00087,C3340,Other,18,Jaipur,Beauty,3,2872,2023-06-12,Wallet,8616,2023-06,Monday,18-25
T00088,C5339,Other,50,Delhi,Electronics,4,796,2023-04-08,Cash,3184,2023-04,Saturday,41-60
T00089,C3287,Female,60,Chennai,Sports,5,1757,2023-10-13,Upi,8785,2023-10,Friday,41-60
T00090,C5040,Other,41,Ahmedabad,Fashion,4,1240,2023-12-05,Upi,4960,2023-12,Tuesday,41-60
T00091,C9830,Other,53,Chennai,Books,1,4035,2023-11-17,Cash,4035,2023-11,Friday,41-60
T00092,C5304,Male,59,Hyderabad,Beauty,4,4710,2023-01-19,Upi,18840,2023-01,Thursday,41-60
T00093,C8019,Male,56,Kolkata,Fashion,1,3739,2023-11-21,Wallet,3739,2023-11,Tuesday,41-60
T00094,C7543,Other,56,Mumbai,Books,4,1436,2023-11-18,Cash,5744,2023-11,Saturday,41-60
T00095,C6930,Other,36,Hyderabad,Electronics,2,2618,2023-01-05,Card,5236,2023-01,Thursday,26-40
T00096,C4593,Male,37,Delhi,Sports,1,2817,2023-05-06,Cash,2817,2023-05,Saturday,26-40
T00097,C3266,Other,61,Hyderabad,Books,3,4023,2023-03-12,Card,12069,2023-03,Sunday,60+
T00098,C9348,Female,24,Pune,Fashion,5,1365,2023-10-28,Wallet,6825,2023-10,Saturday,18-25
T00099,C9085,Other,48,Kolkata,Sports,5,2097,2023-07-12,Cash,10485,2023-07,Wednesday,41-60
T00100,C2489,Other,22,Mumbai,Groceries,1,557,2023-04-23,Cash,557,2023-04,Sunday,18-25
T00101,C1771,Female,39,Bengaluru,Books,2,4552,2023-12-11,Upi,9104,2023-12,Monday,26-40
T00102,C2796,Male,35,Chennai,Groceries,5,2291,2023-04-11,Card,11455,2023-04,Tuesday,26-40
T00103,C3504,Other,58,Lucknow,Books,2,4553,2023-05-16,Upi,9106,2023-05,Tuesday,41-60
T00104,C3621,Male,38,Delhi,Books,3,1108,2023-08-29,Upi,3324,2023-08,Tuesday,26-40
T00105,C7916,Male,35,Pune,Beauty,5,273,2023-03-19,Wallet,1365,2023-03,Sunday,26-40
T00106,C2040,Other,34,Hyderabad,Books,4,464,2023-09-06,Wallet,1856,2023-09,Wednesday,26-40
T00107,C7304,Other,59,Mumbai,Groceries,4,942,2023-04-06,Cash,3768,2023-04,Thursday,41-60
T00108,C7252,Male,63,Mumbai,Groceries,1,4561,2023-09-12,Card,4561,2023-09,Tuesday,60+
T00109,C8668,Other,59,Lucknow,Beauty,5,2530,2023-05-25,Wallet,12650,2023-05,Thursday,41-60
T00110,C9669,Other,37,Ahmedabad,Beauty,2,940,2023-03-09,Card,1880,2023-03,Thursday,26-40
T00111,C5119,Male,30,Lucknow,Beauty,2,4290,2023-04-12,Card,8580,2023-04,Wednesday,26-40
T00112,C1188,Male,27,Bengaluru,Groceries,3,3502,2023-11-22,Card,10506,2023-11,Wednesday,26-40
T00113,C2876,Female,51,Kolkata,Electronics,5,1261,2023-02-15,Cash,6305,2023-02,Wednesday,41-60
T00114,C9797,Other,66,Delhi,Sports,2,109,2023-09-22,Card,218,2023-09,Friday,60+
T00115,C5371,Female,33,Hyderabad,Sports,2,1937,2023-04-20,Upi,3874,2023-04,Thursday,26-40
T00116,C6573,Male,21,Bengaluru,Groceries,5,296,2023-01-02,Card,1480,2023-01,Monday,18-25
T00117,C2827,Other,69,Ahmedabad,Books,4,1956,2023-08-11,Cash,7824,2023-08,Friday,60+
T00118,C5808,Male,69,Delhi,Fashion,5,3599,2023-02-04,Upi,17995,2023-02,Saturday,60+
T00119,C8123,Other,69,Lucknow,Electronics,4,3257,2023-09-09,Card,13028,2023-09,Saturday,60+
T00120,C3591,Other,56,Kolkata,Fashion,1,1307,2023-10-13,Card,1307,2023-10,Friday,41-60
T00121,C8433,Female,43,Mumbai,Sports,1,2994,2023-11-09,Upi,2994,2023-11,Thursday,41-60
T00122,C1053,Male,60,Mumbai,Groceries,4,2449,2023-04-17,Card,9796,2023-04,Monday,41-60
T00123,C5315,Other,38,Kolkata,Groceries,5,1950,2023-12-30,Cash,9750,2023-12,Saturday,26-40
T00124,C9201,Female,61,Bengaluru,Books,3,3251,2023-04-02,Card,9753,2023-04,Sunday,60+
T00125,C3927,Male,26,Jaipur,Furniture,2,1020,2023-01-20,Card,2040,2023-01,Friday,26-40
T00126,C9317,Female,64,Delhi,Furniture,1,4128,2023-08-03,Card,4128,2023-08,Thursday,60+
T00127,C2743,Male,19,Bengaluru,Groceries,1,1489,2023-12-19,Wallet,1489,2023-12,Tuesday,18-25
T00128,C5889,Other,59,Ahmedabad,Fashion,4,1002,2023-05-15,Card,4008,2023-05,Monday,41-60
T00129,C9317,Female,49,Hyderabad,Electronics,3,1939,2023-11-11,Upi,5817,2023-11,Saturday,41-60
T00130,C4258,Female,36,Kolkata,Fashion,5,933,2023-07-14,Cash,4665,2023-07,Friday,26-40
T00131,C3504,Other,34,Jaipur,Fashion,3,2408,2023-11-20,Wallet,7224,2023-11,Monday,26-40
T00132,C7126,Male,44,Kolkata,Sports,4,3027,2023-10-26,Upi,12108,2023-10,Thursday,41-60
T00133,C3646,Other,43,Ahmedabad,Fashion,3,724,2023-05-01,Wallet,2172,2023-05,Monday,41-60
T00134,C9837,Female,42,Hyderabad,Books,2,2833,2023-11-23,Wallet,5666,2023-11,Thursday,41-60
T00135,C9689,Other,65,Mumbai,Fashion,5,1069,2023-06-28,Wallet,5345,2023-06,Wednesday,60+
T00136,C1009,Female,20,Pune,Books,5,3053,2023-09-05,Wallet,15265,2023-09,Tuesday,18-25
T00137,C6310,Other,55,Kolkata,Sports,3,794,2023-09-29,Upi,2382,2023-09,Friday,41-60
T00138,C9005,Male,63,Bengaluru,Sports,1,455,2023-12-03,Card,455,2023-12,Sunday,60+
T00139,C1319,Female,54,Chennai,Beauty,2,1337,2023-04-03,Upi,2674,2023-04,Monday,41-60
T00140,C2832,Female,70,Mumbai,Books,5,1558,2023-06-03,Cash,7790,2023-06,Saturday,60+
T00141,C6947,Male,30,Ahmedabad,Sports,5,3611,2023-04-29,Cash,18055,2023-04,Saturday,26-40
T00142,C6038,Other,39,Ahmedabad,Books,1,4445,2023-05-30,Upi,4445,2023-05,Tuesday,26-40
T00143,C4923,Male,64,Jaipur,Sports,3,2843,2023-12-09,Upi,8529,2023-12,Saturday,60+
T00144,C1949,Other,63,Chennai,Beauty,1,1585,2023-09-06,Card,1585,2023-09,Wednesday,60+
T00145,C4946,Male,32,Jaipur,Sports,4,3583,2023-09-08,Cash,14332,2023-09,Friday,26-40
T00146,C2290,Male,61,Ahmedabad,Beauty,1,1330,2023-11-19,Cash,1330,2023-11,Sunday,60+
T00147,C2403,Female,52,Hyderabad,Books,2,2570,2023-07-20,Wallet,5140,2023-07,Thursday,41-60
T00148,C8962,Female,58,Lucknow,Books,5,2451,2023-11-03,Card,12255,2023-11,Friday,41-60
T00149,C2133,Other,68,Bengaluru,Electronics,3,2953,2023-07-02,Card,8859,2023-07,Sunday,60+
T00150,C9727,Male,48,Jaipur,Furniture,4,951,2023-10-06,Wallet,3804,2023-10,Friday,41-60
T00151,C3060,Other,60,Kolkata,Furniture,2,2320,2023-09-04,Card,4640,2023-09,Monday,41-60
T00152,C3103,Male,40,Kolkata,Electronics,5,4189,2023-06-01,Card,20945,2023-06,Thursday,26-40
T00153,C8787,Male,50,Ahmedabad,Electronics,5,3123,2023-02-19,Wallet,15615,2023-02,Sunday,41-60
T00154,C3705,Female,37,Chennai,Books,3,2274,2023-04-23,Card,6822,2023-04,Sunday,26-40
T00155,C5342,Male,28,Lucknow,Fashion,3,725,2023-02-27,Wallet,2175,2023-02,Monday,26-40
T00156,C9645,Female,60,Jaipur,Electronics,3,117,2023-05-28,Wallet,351,2023-05,Sunday,41-60
T00157,C7932,Female,53,Bengaluru,Furniture,4,1317,2023-08-03,Card,5268,2023-08,Thursday,41-60
T00158,C4470,Male,29,Delhi,Groceries,3,1300,2023-08-17,Card,3900,2023-08,Thursday,26-40
T00159,C9835,Male,36,Jaipur,Groceries,2,2723,2023-06-16,Upi,5446,2023-06,Friday,26-40
T00160,C4295,Other,24,Bengaluru,Beauty,3,1310,2023-05-07,Cash,3930,2023-05,Sunday,18-25
T00161,C6107,Other,48,Ahmedabad,Groceries,3,3299,2023-12-06,Card,9897,2023-12,Wednesday,41-60
T00162,C7537,Other,26,Chennai,Fashion,2,3759,2023-08-06,Upi,7518,2023-08,Sunday,26-40
T00163,C7118,Female,65,Chennai,Books,4,4019,2023-03-01,Card,16076,2023-03,Wednesday,60+
T00164,C8177,Female,34,Jaipur,Furniture,5,651,2023-04-01,Wallet,3255,2023-04,Saturday,26-40
T00165,C9479,Female,64,Kolkata,Sports,3,1027,2023-08-26,Cash,3081,2023-08,Saturday,60+
T00166,C8397,Female,69,Ahmedabad,Sports,1,4833,2023-06-13,Card,4833,2023-06,Tuesday,60+
T00167,C2982,Female,53,Mumbai,Books,2,3601,2023-12-05,Card,7202,2023-12,Tuesday,41-60
T00168,C5061,Female,66,Jaipur,Groceries,1,2381,2023-02-28,Wallet,2381,2023-02,Tuesday,60+
T00169,C4681,Male,29,Pune,Fashion,5,1285,2023-06-27,Card,6425,2023-06,Tuesday,26-40
T00170,C2049,Other,61,Bengaluru,Beauty,4,840,2023-12-23,Upi,3360,2023-12,Saturday,60+
T00171,C6539,Other,39,Mumbai,Groceries,1,2746,2023-07-23,Upi,2746,2023-07,Sunday,26-40
T00172,C1344,Other,59,Lucknow,Electronics,1,1144,2023-12-27,Cash,1144,2023-12,Wednesday,41-60
T00173,C4770,Male,23,Kolkata,Beauty,2,1589,2023-03-07,Cash,3178,2023-03,Tuesday,18-25
T00174,C4608,Other,32,Lucknow,Books,4,3254,2023-09-05,Upi,13016,2023-09,Tuesday,26-40
T00175,C1117,Female,40,Hyderabad,Electronics,5,2988,2023-09-08,Cash,14940,2023-09,Friday,26-40
T00176,C2163,Male,32,Kolkata,Fashion,4,2715,2023-11-04,Wallet,10860,2023-11,Saturday,26-40
T00177,C1964,Male,65,Delhi,Fashion,4,4148,2023-07-30,Card,16592,2023-07,Sunday,60+
T00178,C4750,Other,37,Jaipur,Books,5,3572,2023-12-18,Wallet,17860,2023-12,Monday,26-40
T00179,C2104,Female,44,Pune,Beauty,1,4042,2023-05-01,Upi,4042,2023-05,Monday,41-60
T00180,C1514,Other,68,Hyderabad,Fashion,1,3491,2023-01-15,Cash,3491,2023-01,Sunday,60+
T00181,C6413,Male,39,Jaipur,Beauty,5,2831,2023-05-29,Wallet,14155,2023-05,Monday,26-40
T00182,C2160,Other,41,Ahmedabad,Fashion,1,1232,2023-05-18,Card,1232,2023-05,Thursday,41-60
T00183,C9423,Male,34,Jaipur,Groceries,4,2114,2023-09-17,Cash,8456,2023-09,Sunday,26-40
T00184,C4899,Male,55,Bengaluru,Fashion,1,3239,2023-04-21,Upi,3239,2023-04,Friday,41-60
T00185,C5562,Male,36,Lucknow,Fashion,3,3529,2023-07-29,Upi,10587,2023-07,Saturday,26-40
T00186,C8953,Female,47,Chennai,Fashion,4,4600,2023-02-01,Cash,18400,2023-02,Wednesday,41-60
T00187,C4510,Female,25,Kolkata,Electronics,5,4172,2023-10-15,Wallet,20860,2023-10,Sunday,18-25
T00188,C9834,Other,48,Pune,Furniture,3,4513,2023-06-15,Upi,13539,2023-06,Thursday,41-60
T00189,C3167,Other,21,Kolkata,Beauty,4,4472,2023-05-14,Cash,17888,2023-05,Sunday,18-25
T00190,C8744,Other,58,Delhi,Books,2,4135,2023-12-12,Wallet,8270,2023-12,Tuesday,41-60
T00191,C4981,Female,55,Delhi,Books,1,4462,2023-06-12,Wallet,4462,2023-06,Monday,41-60
T00192,C8749,Other,55,Jaipur,Electronics,1,4492,2023-07-30,Card,4492,2023-07,Sunday,41-60
T00193,C7669,Female,57,Delhi,Electronics,4,1985,2023-07-20,Wallet,7940,2023-07,Thursday,41-60
T00194,C4119,Male,22,Mumbai,Electronics,3,3250,2023-08-15,Upi,9750,2023-08,Tuesday,18-25
T00195,C2545,Male,48,Bengaluru,Books,2,784,2023-08-06,Card,1568,2023-08,Sunday,41-60
T00196,C2588,Female,30,Bengaluru,Furniture,4,4859,2023-07-24,Cash,19436,2023-07,Monday,26-40
T00197,C8062,Female,50,Mumbai,Books,1,3555,2023-05-14,Cash,3555,2023-05,Sunday,41-60
T00198,C6804,Male,25,Hyderabad,Furniture,2,4416,2023-01-28,Upi,8832,2023-01,Saturday,18-25
T00199,C7939,Female,61,Delhi,Electronics,1,4833,2023-05-18,Card,4833,2023-05,Thursday,60+
T00200,C7735,Male,42,Ahmedabad,Fashion,3,1896,2023-09-06,Wallet,5688,2023-09,Wednesday,41-60
T00201,C8651,Other,51,Hyderabad,Electronics,3,814,2023-04-23,Wallet,2442,2023-04,Sunday,41-60
T00202,C1887,Male,37,Delhi,Electronics,2,2026,2023-06-23,Wallet,4052,2023-06,Friday,26-40
T00203,C2612,Male,44,Mumbai,Books,1,3063,2023-11-22,Cash,3063,2023-11,Wednesday,41-60
T00204,C1993,Other,21,Lucknow,Beauty,5,123,2023-01-24,Cash,615,2023-01,Tuesday,18-25
T00205,C7596,Female,27,Pune,Sports,3,1765,2023-06-07,Upi,5295,2023-06,Wednesday,26-40
T00206,C6559,Other,26,Ahmedabad,Sports,2,240,2023-08-18,Upi,480,2023-08,Friday,26-40
T00207,C2790,Male,30,Jaipur,Electronics,2,3068,2023-07-29,Upi,6136,2023-07,Saturday,26-40
T00208,C5073,Male,39,Lucknow,Furniture,4,4674,2023-04-24,Upi,18696,2023-04,Monday,26-40
T00209,C4139,Male,44,Lucknow,Electronics,3,3982,2023-10-21,Wallet,11946,2023-10,Saturday,41-60
T00210,C4116,Male,54,Chennai,Groceries,1,1194,2023-03-27,Upi,1194,2023-03,Monday,41-60
T00211,C9786,Male,47,Mumbai,Electronics,3,1002,2023-10-02,Upi,3006,2023-10,Monday,41-60
T00212,C8350,Other,27,Kolkata,Electronics,4,588,2023-04-16,Cash,2352,2023-04,Sunday,26-40
T00213,C3296,Male,38,Hyderabad,Groceries,5,2961,2023-11-17,Cash,14805,2023-11,Friday,26-40
T00214,C7912,Female,63,Lucknow,Beauty,2,3056,2023-02-26,Cash,6112,2023-02,Sunday,60+
T00215,C4006,Other,29,Delhi,Electronics,1,1241,2023-11-11,Wallet,1241,2023-11,Saturday,26-40
T00216,C5563,Other,67,Mumbai,Books,2,2514,2023-11-09,Card,5028,2023-11,Thursday,60+
T00217,C8579,Other,23,Hyderabad,Electronics,4,3871,2023-06-18,Wallet,15484,2023-06,Sunday,18-25
T00218,C5092,Male,49,Ahmedabad,Books,1,1280,2023-03-08,Card,1280,2023-03,Wednesday,41-60
T00219,C2235,Male,39,Delhi,Electronics,3,4617,2023-11-06,Wallet,13851,2023-11,Monday,26-40
T00220,C8260,Other,58,Ahmedabad,Sports,5,3549,2023-10-04,Upi,17745,2023-10,Wednesday,41-60
T00221,C2604,Male,29,Mumbai,Fashion,5,2086,2023-01-11,Cash,10430,2023-01,Wednesday,26-40
T00222,C1828,Female,38,Kolkata,Sports,4,1826,2023-01-11,Wallet,7304,2023-01,Wednesday,26-40
T00223,C9856,Female,58,Jaipur,Fashion,2,1939,2023-07-14,Wallet,3878,2023-07,Friday,41-60
T00224,C1241,Male,21,Pune,Fashion,5,557,2023-02-16,Wallet,2785,2023-02,Thursday,18-25
T00225,C2528,Other,18,Kolkata,Beauty,2,1228,2023-12-27,Cash,2456,2023-12,Wednesday,18-25
T00226,C4872,Male,46,Mumbai,Groceries,5,1060,2023-06-20,Cash,5300,2023-06,Tuesday,41-60
T00227,C3724,Male,35,Lucknow,Electronics,5,1272,2023-06-30,Cash,6360,2023-06,Friday,26-40
T00228,C7658,Male,31,Chennai,Electronics,5,3192,2023-10-11,Cash,15960,2023-10,Wednesday,26-40
T00229,C8956,Other,66,Jaipur,Fashion,2,315,2023-02-02,Cash,630,2023-02,Thursday,60+
T00230,C8886,Female,67,Mumbai,Books,1,3579,2023-12-02,Card,3579,2023-12,Saturday,60+
T00231,C4502,Male,28,Delhi,Beauty,5,3144,2023-01-26,Upi,15720,2023-01,Thursday,26-40
T00232,C7570,Other,54,Chennai,Groceries,2,543,2023-09-23,Wallet,1086,2023-09,Saturday,41-60
T00233,C1960,Other,66,Delhi,Sports,1,968,2023-04-18,Wallet,968,2023-04,Tuesday,60+
T00234,C3697,Female,28,Hyderabad,Groceries,2,4864,2023-07-05,Cash,9728,2023-07,Wednesday,26-40
T00235,C7209,Other,49,Jaipur,Groceries,3,704,2023-10-02,Upi,2112,2023-10,Monday,41-60
T00236,C1035,Other,68,Delhi,Fashion,5,4006,2023-04-12,Wallet,20030,2023-04,Wednesday,60+
T00237,C7396,Other,66,Delhi,Books,2,4965,2023-03-22,Wallet,9930,2023-03,Wednesday,60+
T00238,C5345,Female,67,Hyderabad,Sports,5,1395,2023-10-02,Cash,6975,2023-10,Monday,60+
T00239,C8454,Male,23,Jaipur,Books,3,347,2023-07-22,Wallet,1041,2023-07,Saturday,18-25
T00240,C5673,Female,26,Pune,Beauty,2,1303,2023-04-28,Wallet,2606,2023-04,Friday,26-40
T00241,C7930,Male,57,Hyderabad,Sports,1,3092,2023-05-29,Cash,3092,2023-05,Monday,41-60
T00242,C8973,Other,45,Hyderabad,Fashion,5,1257,2023-03-24,Card,6285,2023-03,Friday,41-60
T00243,C3536,Other,58,Jaipur,Sports,5,747,2023-07-11,Card,3735,2023-07,Tuesday,41-60
T00244,C4111,Male,45,Hyderabad,Sports,3,2107,2023-06-19,Cash,6321,2023-06,Monday,41-60
T00245,C5861,Female,43,Lucknow,Electronics,5,731,2023-07-31,Upi,3655,2023-07,Monday,41-60
T00246,C4566,Female,45,Bengaluru,Electronics,4,202,2023-04-21,Cash,808,2023-04,Friday,41-60
